id,date,ticker,emo_label,senti_label,text
100001,2020-01-01,AMZN,excitement,bullish,Amazon Dow futures up by 100 points already [partying face]
100002,2020-01-01,TSLA,excitement,bullish,Tesla Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020! [clinking beer mugs]
100003,2020-01-01,AAPL,confusion,bullish,Apple We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm [thinking face] . I have 20 mins to decide. Any suggestions?
100004,2020-01-01,TSLA,excitement,bullish,"Tesla happy new year, 2020, everyone [wine glass] [party popper] [folded hands]"
100005,2020-01-01,TSLA,excitement,bullish,"Tesla haha just a collection of greats...""Mars"" rofl [smiling face with horns] [smiling face with sunglasses] [shooting star] [fast up button] [crystal ball] [money with wings] [clapping hands] [flexed biceps] [rocket] [fireworks] [sparkler] [megaphone] [party popper] [confetti ball] *bork*"
100006,2020-01-01,TSLA,surprise,bullish,Tesla NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019. Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH [face screaming in fear]
100007,2020-01-02,AAPL,amusement,bullish,Apple $300 calls First trade of 2020 Congrats to all bulls [smiling face with horns]
100008,2020-01-02,AAPL,anxiety,bullish,"Apple Remember, if you short every day, one of those days you will be right [smirking face]"
100009,2020-01-02,AAPL,optimism,bullish,"Apple called it, the bear comment below makes me chuckle inside. So sweeet [winking face with tongue]"
100010,2020-01-02,HD,optimism,bullish,Home Depot Bought more at today's low. She is turning. Stars aligned. [crossed fingers]
100011,2020-01-02,AAPL,belief,bullish,Apple is taking things UP in 2020 [rocket] Apple
100012,2020-01-02,AAPL,optimism,bullish,Apple not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though [money mouth face]
100013,2020-01-02,AAPL,disgust,bullish,Apple where are all the peeps posting bearish since $200 [rolling on the floor laughing]
100014,2020-01-03,NVDA,belief,bullish,NVIDIA This should be at least 300 already [thinking face] [chart increasing with yen] [money with wings]
100015,2020-01-03,AAPL,optimism,bullish,Apple tomorrow buy time on the dip then green [whale] [classical building] [money bag]
100016,2020-01-03,AAPL,ambiguous,bullish,Apple Thanks for that dip. Let the bears talk their gibberish and ignore it. [grinning squinting face]
100017,2020-01-03,AAPL,belief,bullish,Apple leave enough red to buy calls at open [folded hands]
100018,2020-01-03,AAPL,anxiety,bullish,Apple short this bears [middle finger] . Never go against Apple.
100019,2020-01-03,TSLA,excitement,bullish,Tesla I must rise to a level where winning does not elate me and losing does not deflate me. But it's not going to happen today. [smiling face with smiling eyes]
100020,2020-01-03,TSLA,anger,bullish,Tesla shorts are f u c k e d [bomb]
100021,2020-01-03,TSLA,amusement,bullish,Tesla Don’t short. It’s a Trap lol [face with tears of joy] see you at 7% + up day
100022,2020-01-03,AMZN,amusement,bullish,Amazon who ever shorted today will be deported from US if you are immigrants [grinning face]
100023,2020-01-03,TSLA,belief,bullish,Tesla [bear] not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.
100024,2020-01-03,TSLA,amusement,bullish,Tesla can one hear the bear as it cries in the forest? [face with tears of joy]
100025,2020-01-03,TSLA,optimism,bullish,Tesla Ignore the clowns and bears! Marvelous opportunity awaits the longterm bulls! [clown face] [bear]
100026,2020-01-03,GOOGL,anxiety,bearish,Google good thing I loaded up on puts [yawning face]
100027,2020-01-03,AAPL,anxiety,bearish,"Apple $1,000 by the end of January [face with tears of joy]"
100028,2020-01-06,AAPL,disgust,bullish,Apple it’s just too funny and easy to laugh at bears at this point. Why don’t you guys do something useful like find a good job so you can afford to buy Apple instead of just posting jealous hate and looking like a [clown face]
100029,2020-01-06,AAPL,optimism,bullish,"Apple once hits 300 today, needs another 100 points to reach 400 like that smart gentleman said on CNBC this am [thumbs up medium skin tone]"
100030,2020-01-06,AMZN,depression,bullish,Amazon I hope we can come close to touching 2000 either tomorrow or Wednesday [loudly crying face]
100031,2020-01-06,TSLA,anger,bullish,"Tesla Squeal like a pig, Chanos! Squeal like a pig!! [pig]"
100032,2020-01-06,NFLX,excitement,bullish,Netflix [fire] [airplane] 336 test to possibly test 340s tomorrow / ALL DAY mentions since open [smiling face with sunglasses] [star]
100033,2020-01-06,TSLA,ambiguous,bullish,Tesla shorts thought they are making a quick and easy bet.....hahhaha [middle finger]
100034,2020-01-06,TSLA,anxiety,bullish,Tesla if you had only listened bears... [man facepalming light skin tone]
100035,2020-01-06,TSLA,optimism,bullish,Once again Tesla keeps roasting the shorts [fire] [chart increasing]
100036,2020-01-07,TSLA,anger,bullish,Tesla BUT BUTT WW3? [crying face] Screw the sink this stock has had the whole house thrown at it and still goes up. You bears are real [clown face] s
100037,2020-01-07,TSLA,excitement,bullish,Tesla Congratulations to Elon and SpaceX for another successful drone ship landing. ...the man is in the zone!! [rocket]
100038,2020-01-07,FB,optimism,bullish,"Facebook Finally gapped up. Took a year and half to do it, but f’ck it feels good. Long and strong [flexed biceps medium light skin tone] . Let’s keep this train moving. Still has some more to go before I’ll even consider selling my calls of any of my shares."
100039,2020-01-07,TSLA,belief,bullish,Tesla these bears constantly post old a$$ pics of crashed Tesla’s hahahahaha. Have you not learned yet I’m pretty sure your account learned by now [winking face with tongue] [fire] [rocket] Hope you readyyyy for what’s next [winking face]
100040,2020-01-07,TSLA,optimism,bullish,Tesla Top of the channel $485 believe it [money bag]
100041,2020-01-07,TSLA,amusement,bullish,Tesla wow jpm with a whole $20 [face with tears of joy]
100042,2020-01-07,DIS,disgust,bearish,"Disney Just keep falling, just keep falling, just keep falling falling falling. What does DIS do all month? Falling falling falling [face with tears of joy] -Dory"
100043,2020-01-07,AAPL,amusement,bullish,Apple Bears & Shorts Later Today [face with tears of joy]
100044,2020-01-07,TSLA,optimism,bullish,Tesla head fake w more short covering. [crown]
100045,2020-01-07,BA,belief,bullish,Boeing Stocks usually look bearish until they don’t lol. BA BA BOOM [exploding head]
100046,2020-01-07,WMT,depression,bearish,I would of thought Walmart would have got hit a little harder with that 54.6 million dollar lawsuit they just lost for not paying their drivers. [hushed face]
100047,2020-01-07,TSLA,optimism,bullish,"Tesla bears [bear] I say, you really do have some good points, and you’re right this may pull back, but why would you get in front of this right now? Or over the last month? There’s other opportunities out there even for your hateful selves"
100048,2020-01-07,TSLA,belief,bullish,Tesla $470 by open tomorrow. Get your electric rocket ships ready we going to the moon [electric plug] [rocket]
100049,2020-01-07,TSLA,confusion,bullish,Tesla have only 2000$ im not going far with this at this point [thinking face]
100050,2020-01-07,TSLA,optimism,bullish,Tesla man I can't wait till the day Tesla start paying out dividends... once that announcement happens the stock will explode before the Ex-date [flexed biceps] [flexed biceps dark skin tone]
100051,2020-01-07,FB,panic,bullish,Facebook stop selling!! My $215 weekly calls are getting wrecked! [unamused face]
100052,2020-01-07,TSLA,optimism,bullish,Tesla should i do a search of all the “mark this post” from the bear shorts that have been fried the last month? [clown face]
100053,2020-01-07,AMZN,optimism,bullish,Amazon CONGRATS TO ALL THE LONG - there were some trying times but our patience IS being rewarded- lots more to come [folded hands medium skin tone]
100054,2020-01-07,TSLA,optimism,bullish,Tesla we’ll it’s not &BYND mane it’s not too late to buy [man facepalming medium skin tone] just maybe
100055,2020-01-07,TSLA,disgust,bullish,"Tesla yep, especially put buyers and call chasers oof [face with tears of joy] [pig face]"
100056,2020-01-07,AAPL,anxiety,bearish,Apple who is ready to open tomorrow at $290. It’s time [pig face]
100057,2020-01-07,AAPL,anger,bearish,Apple Green by morning my ass!! Y’all should have taken profits [face with tears of joy] [man facepalming light skin tone] [eyes] [red apple]
100058,2020-01-08,AAPL,ambiguous,bearish,Apple buy 300 call easy money [rolling on the floor laughing]
100059,2020-01-08,AAPL,disgust,bearish,Apple maybe dan Ives at Wedbush can reimburse all you chasers for your losses. Or maybe not [face with tears of joy]
100060,2020-01-08,TSLA,excitement,bullish,Tesla another target raised to $556 wow. When the dust settles this will [fire] [rocket] [winking face]
100061,2020-01-08,TSLA,optimism,bullish,Tesla if this takes a big dip tomorrow morning I’m closing all my hedges and rolling my $525k of sub $300 strike Jan 17 calls up to $400+ strike calls... bring it on [bear]
100062,2020-01-08,TSLA,excitement,bullish,Tesla wow it's great to wake up to this! This is going to open at 475 and maybe hit 500 today!!! [smiling face with heart eyes] [upside down face]
100063,2020-01-08,TSLA,anxiety,bullish,"Tesla Bullish AF to the mewn, but that 15 point bubble-pop drop last night was not a good feeling while holding calls [nauseated face] [face vomiting] *bork*"
100064,2020-01-08,DIS,amusement,bullish,"Disney small piece of advice, if you’re long calls, turning them into spreads before close really helps reduce risk. Then you can close the short leg out in the morning, usually for a profit when things are starting to look bullish again [beaming face with smiling eyes]"
100065,2020-01-08,TSLA,excitement,bullish,"Tesla Oh yeah, was that yesterday? 30 point run. [rocket] Give me $489!"
100066,2020-01-08,TSLA,excitement,bullish,"Tesla I just took profits and resized my position a few days ago, soon I’ll be doing it again. [rocket]"
100068,2020-01-08,TSLA,amusement,bullish,Tesla Bwahahaha there isn’t a thing capable of stopping this train [partying face]
100069,2020-01-08,TSLA,confusion,bullish,Tesla who’s making tendies [eyes] missed this run
100070,2020-01-08,AAPL,optimism,bearish,Apple short term [bear] people need to pull some off the table with all uncertainty floating around. This is just dicey
100071,2020-01-08,TSLA,ambiguous,bullish,Tesla people seem to have forgotten about the energy business [eyes]
100072,2020-01-08,TSLA,amusement,bullish,"Tesla i thought $500 by end of week, not middle of week [rolling on the floor laughing]"
100073,2020-01-08,AAPL,disgust,bearish,Apple What makes bulls believe that Terrorist will stop [stop sign] launching rockets [firecracker]
100074,2020-01-08,TSLA,optimism,bullish,Tesla grabbed a $500 call and flipped it for over 100%. Paid for my loser put and then some. Rolled over to a $515. Let’s keep the party going. [rocket] [crescent moon]
100075,2020-01-08,TSLA,ambiguous,bullish,Tesla remember this? Now it seems like a distant memory... 2 weeks ago [beaming face with smiling eyes]
100076,2020-01-08,TSLA,excitement,bullish,Tesla bunch of cocaine and two chicks at the same time [chart increasing] [money with wings]
100077,2020-01-08,AAPL,excitement,bullish,Apple hahaha many bears buying put/sell. Strong strong but we wanna see 305 before close hahaha [rolling on the floor laughing] [hundred points] [backhand index pointing up] [chart increasing with yen] [dollar banknote]
100078,2020-01-08,TSM,optimism,bullish,TSMC ...we will definitely close at $59 today. [smiling face with sunglasses]
100079,2020-01-08,BABA,optimism,bullish,"Alibaba yeez guys, dont sell off now ... this dragon has just started to fly [money with wings]"
100080,2020-01-08,DIS,depression,bearish,Disney Since July 2019 DIS has gone up 0% I’m guessing it will continue going sideways [crying face]
100081,2020-01-08,TSLA,excitement,bullish,Tesla this is WILD. And I’m loving every bit of it [money mouth face]
100082,2020-01-08,TSLA,optimism,bullish,Tesla For years Kind of going nowhere.. Now the most loved company in the world [dollar banknote]
100083,2020-01-09,TSLA,amusement,bullish,Tesla shorts waiting on the market to open this morning ... Tesla [smiling face with heart eyes]
100084,2020-01-09,TSLA,excitement,bullish,Tesla so happy I don't have to get Elon tatted on me [face with tears of joy] Tomorrow hit 500+ sweet cheeks [face blowing a kiss]
100085,2020-01-09,TSLA,optimism,bullish,Tesla ahh it’s gonna be another good day tomorrow if the futures keep ripping [smiling face with sunglasses] [bullseye]
100086,2020-01-09,TSLA,excitement,bullish,Tesla Did Elon do another dance today?..cause I love it when he dances..such a good dancer! [grinning squinting face] [winking face]
100087,2020-01-09,TSLA,optimism,bullish,Tesla how I wish I didn't sell at $470! [flushed face] [grinning face with sweat]
100088,2020-01-09,AAPL,amusement,bullish,"Apple again, shorts gonna buy put and sells, scared traders gonna take profit and selling shares/calls [face with tears of joy] if thats gonna happen, BUY THE DIPS! HOLD AND GO LONG! BUY NEW CAR OR WHAT EVER! [backhand index pointing up] [hundred points] [dollar banknote] [palms up together] [chart increasing with yen] End with 310-315 this week end next week"
100089,2020-01-09,TSLA,excitement,bullish,Tesla Little dip to lure them in & then BOOM [collision] $505
100090,2020-01-09,TSLA,excitement,bullish,Tesla Puts the art in fart [rocket]
100091,2020-01-09,AAPL,optimism,bullish,Apple time to take a breather [smiling face with sunglasses]
100092,2020-01-09,TSLA,amusement,bullish,Tesla Waiting for that hot & moist reversal [face savoring food]
100093,2020-01-09,TSLA,amusement,bullish,Tesla 500+ eod no worries [winking face]
100094,2020-01-09,V,optimism,bullish,Visa people Shopped Non stop during the holiday season and now Gas stations in US requires all pumps to upgrade to pay by Credit cards ....Now you can tell where VISA is heading too ...easy 220 [folded hands] [rocket] [red heart]
100095,2020-01-09,SBUX,belief,bullish,Starbucks following through nicely as shown in yesterday’s tweets. [thumbs up] [flexed biceps] [folded hands] [money mouth face]
100096,2020-01-09,AMZN,belief,bearish,Amazon Now it’s moving with the market [face with tears of joy]
100097,2020-01-09,TSLA,excitement,bullish,Tesla who else bought the dip [money bag] [money mouth face]
100098,2020-01-09,DIS,anger,bearish,Disney down 0.27% pretty much the expected daily return [man shrugging medium light skin tone]
100099,2020-01-09,AAPL,belief,bullish,Apple nice to look at my account today and see my shares up over 100% and climbing. [clapping hands light skin tone]
