stockemotions_full
id,date,ticker,emo_label,senti_label,original,processed
100001,2020-01-01,AMZN,excitement,bullish,$AMZN Dow futures up by 100 points already 🥳,Amazon Dow futures up by 100 points already  [partying face]
100002,2020-01-01,TSLA,excitement,bullish,$TSLA Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020! 🍻,Tesla Daddy's drinkin' eArly tonight! Here's to a PT of ohhhhh $1000 in 2020!  [clinking beer mugs]
100003,2020-01-01,AAPL,confusion,bullish,$AAPL We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm 🤔. I have 20 mins to decide. Any suggestions?,Apple We’ll been riding since last December from $172.12 what to do. Decisions decisions hmm  [thinking face] . I have 20 mins to decide. Any suggestions?
100004,2020-01-01,TSLA,excitement,bullish,"$TSLA happy new year, 2020, everyone🍷🎉🙏","Tesla happy new year, 2020, everyone [wine glass]  [party popper]  [folded hands]"
100005,2020-01-01,TSLA,excitement,bullish,"$TSLA haha just a collection of greats...""Mars"" rofl 😈😎🌠⏫🔮💸👏💪🚀🎆🎇📣🎉🎊 *bork*","Tesla haha just a collection of greats...""Mars"" rofl  [smiling face with horns]  [smiling face with sunglasses]  [shooting star]  [fast up button]  [crystal ball]  [money with wings]  [clapping hands]  [flexed biceps]  [rocket]  [fireworks]  [sparkler]  [megaphone]  [party popper]  [confetti ball]  *bork*"
100006,2020-01-01,TSLA,surprise,bullish,"$TSLA NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.

Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH😱","Tesla NOBODY: Gas cars driven by humans killed 1000s upon 1000s in 2019.

Tesla shorts: OMG DID YOU HEAR 2 PEOPLE DIED FROM A TESLA CRASH [face screaming in fear]"
100007,2020-01-02,AAPL,amusement,bullish,$AAPL $300 calls First trade of 2020 Congrats to all bulls 😈,Apple $300 calls First trade of 2020 Congrats to all bulls  [smiling face with horns]
100008,2020-01-02,AAPL,anxiety,bullish,"$AAPL Remember, if you short every day, one of those days you will be right 😏","Apple Remember, if you short every day, one of those days you will be right  [smirking face] "
100009,2020-01-02,AAPL,optimism,bullish,"$AAPL called it, the bear comment below makes me chuckle inside. So sweeet 😜","Apple called it, the bear comment below makes me chuckle inside. So sweeet  [winking face with tongue] "
100010,2020-01-02,HD,optimism,bullish,$HD Bought more at today's low. She is turning. Stars aligned.🤞,Home Depot Bought more at today's low. She is turning. Stars aligned. [crossed fingers]
100011,2020-01-02,AAPL,belief,bullish,Apple is taking things UP in 2020 🚀🚀 $AAPL,Apple is taking things UP in 2020  [rocket]   Apple
100012,2020-01-02,AAPL,optimism,bullish,$AAPL not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though 🤑🤑,Apple not a bad day wish I wouldnt have sold those 20 300 calls on monday. Still took a decent profit for next week calls though  [money mouth face]
100013,2020-01-02,AAPL,disgust,bullish,$AAPL where are all the peeps posting bearish since $200🤣,Apple where are all the peeps posting bearish since $200 [rolling on the floor laughing]
100014,2020-01-03,NVDA,belief,bullish,$NVDA This should be at least 300 already 🤔💹💸💸,NVIDIA This should be at least 300 already  [thinking face]  [chart increasing with yen]  [money with wings]
100015,2020-01-03,AAPL,optimism,bullish,$AAPL tomorrow buy time on the dip then green 🐋🏛💰,Apple tomorrow buy time on the dip then green  [whale]  [classical building]  [money bag]
100016,2020-01-03,AAPL,ambiguous,bullish,$AAPL Thanks for that dip. Let the bears talk their gibberish and ignore it. 😆,Apple Thanks for that dip. Let the bears talk their gibberish and ignore it.  [grinning squinting face]
100017,2020-01-03,AAPL,belief,bullish,$AAPL leave enough red to buy calls at open 🙏,Apple leave enough red to buy calls at open  [folded hands]
100018,2020-01-03,AAPL,anxiety,bullish,$AAPL short this bears 🖕🖕🖕. Never go against Apple.,Apple short this bears  [middle finger]   . Never go against Apple.
100019,2020-01-03,TSLA,excitement,bullish,$TSLA  I must rise to a level where winning does not elate  me and losing does not deflate me. But it's not going to happen today.😊😊😊😊,Tesla  I must rise to a level where winning does not elate  me and losing does not deflate me. But it's not going to happen today. [smiling face with smiling eyes]
100020,2020-01-03,TSLA,anger,bullish,$TSLA shorts are f u c k e d 💣,Tesla shorts are f u c k e d  [bomb]
100021,2020-01-03,TSLA,amusement,bullish,$TSLA Don’t short. It’s a Trap lol 😂 see you at 7% + up day,Tesla Don’t short. It’s a Trap lol  [face with tears of joy]  see you at 7% + up day
100022,2020-01-03,AMZN,amusement,bullish,$AMZN who ever shorted today will be deported from US if you are immigrants 😀,Amazon who ever shorted today will be deported from US if you are immigrants  [grinning face]
100023,2020-01-03,TSLA,belief,bullish,$TSLA 🐻 not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.,Tesla  [bear]  not see anything like this with Tesla stock in the last 3 years. It'll be an EPIC year in 2020 when model Y roll out in summer.
100024,2020-01-03,TSLA,amusement,bullish,$TSLA  can one hear the bear as it cries in the forest?😂😂😂,Tesla  can one hear the bear as it cries in the forest? [face with tears of joy]
100025,2020-01-03,TSLA,optimism,bullish,$TSLA Ignore the clowns and bears!  Marvelous opportunity awaits the longterm bulls!🤡🐻,Tesla Ignore the clowns and bears!  Marvelous opportunity awaits the longterm bulls! [clown face]  [bear]
100026,2020-01-03,GOOGL,anxiety,bearish,$GOOGL good thing I loaded up on puts 🥱,Google good thing I loaded up on puts  [yawning face]
100027,2020-01-03,AAPL,anxiety,bearish,"$AAPL $1,000 by the end of January 😂","Apple $1,000 by the end of January  [face with tears of joy]"
